gp,ind,sig,ROIC,IC,Icmin,Icmax,Icminr,Icmaxr,Icr
A,AAA,0.064319824,0.158105404,764.49,382.245,2293.47,0.004362915,0.026177489,0.00872583
A,BBB,0.058577113,0.114747853,553.823,276.9115,1661.469,0.003160646,0.018963879,0.006321293
A,CCC,0.049215491,0.12465747,423.32,211.66,1269.96,0.002415871,0.014495225,0.004831742
A,DDD,0.054614216,0.16010479,267.2,133.6,801.6,0.0015249,0.0091494,0.0030498
A,EEE,0.021673418,0.226676385,329.28,164.64,987.84,0.001879188,0.011275129,0.003758376
A,FFF,0.147483756,0.199040042,760.45,380.225,2281.35,0.004339859,0.026039153,0.008679718
A,GGG,0.022434736,0.100897855,721.72,360.86,2165.16,0.004118828,0.024712969,0.008237656
B,HHH,0.034870374,0.096547103,2099.7005,1049.85025,6299.1015,0.01198291,0.071897458,0.023965819
B,III,0.031010507,0.179430797,159.17,79.585,477.51,0.000908377,0.005450262,0.001816754
B,JJJ,0.082612981,0.066879489,4684.096782,2342.048391,14052.29035,0.026731959,0.160391756,0.053463919
C,KKK,0.056018199,0.084558773,4866.79248,2433.39624,14600.37744,0.027774597,0.16664758,0.055549193
C,LLL,0.025507881,0.082521769,2625.1255,1312.56275,7875.3765,0.01498149,0.089888939,0.02996298
C,MMM,0.062097873,0.111089375,1431.28,715.64,4293.84,0.00816826,0.049009558,0.016336519
C,NNN,0.079776636,0.212746665,628.635,314.3175,1885.905,0.003587596,0.021525574,0.007175191
C,OOO,0.014892795,0.077304605,1675.45,837.725,5026.35,0.009561728,0.05737037,0.019123457
C,PPP,0.022488018,0.106181911,470.89,235.445,1412.67,0.002687351,0.016124106,0.005374702
D,QQQ,0.022957665,0.086914782,17012.98626,8506.49313,51038.95878,0.097092455,0.582554731,0.19418491
D,RRR,0.078675678,0.100464855,11625.55839,5812.779197,34876.67518,0.066346613,0.398079675,0.132693225
D,SSS,0.040688369,0.054628113,2905.0976,1452.5488,8715.2928,0.01657928,0.099475679,0.03315856
D,TTT,0.053801028,0.251877998,439.697,219.8485,1319.091,0.002509334,0.015056003,0.005018668
E,UUU,0.026132871,0.154472846,763.888302,381.944151,2291.664906,0.004359481,0.026156886,0.008718962
E,VVV,0.023204702,1.750649351,15.4,7.7,46.2,8.78872E-05,0.000527323,0.000175774
E,WWW,0.023991931,0.083605438,2152.97,1076.485,6458.91,0.012286917,0.0737215,0.024573833
E,XXX,0.011703528,0.145979654,2468.083674,1234.041837,7404.251022,0.014085258,0.084511549,0.028170516
E,YYY,0.068831602,0.191071303,2093.459325,1046.729663,6280.377975,0.011947291,0.071683749,0.023894583
F,ZZZ,0.032349715,0.124415687,1233.285,616.6425,3699.855,0.00703831,0.042229859,0.01407662
F,AAAA,0.017538267,0.275974867,363.07654,181.53827,1089.22962,0.002072064,0.012432383,0.004144128
F,BBBB,0.019978227,0.147174382,338.51,169.255,1015.53,0.001931863,0.011591181,0.003863727
F,CCCC,0.062693827,0.156970378,15574.305,7787.1525,46722.915,0.088881957,0.533291741,0.177763914
F,DDDD,0.031097057,0.059418495,3502.2765,1751.13825,10506.8295,0.019987357,0.11992414,0.039974713
G,EEEE,0.015312895,0.055720488,2692.008,1346.004,8076.024,0.015363186,0.092179114,0.030726371
G,FFFF,0.008413159,0.10538365,948.9138,474.4569,2846.7414,0.005415414,0.032492486,0.010830829
G,GGGG,0.021530533,0.117420666,425.81942,212.90971,1277.45826,0.002430135,0.01458081,0.00486027
G,HHHH,0.025842611,0.083957417,595.54,297.77,1786.62,0.003398724,0.020392343,0.006797448
