checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,asnm,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted
<0DM,6,Critical_acct_other_credits_existing,radio/television,1169,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,real_estate,NA,NA,none,own,2,skilled_employee/official,1,yes,yes,0
0_to_200DM,48,Existing_credits_paid_till_now,radio/television,5951,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,real_estate,22,424,none,own,1,skilled_employee/official,1,none,yes,1
None,12,Critical_acct_other_credits_existing,education,2096,<100DM,4_to_7yrs,2,male_single,None,3,real_estate,49,73,none,own,1,unskilled_resident,2,none,yes,0
<0DM,42,Existing_credits_paid_till_now,furniture/equipment,7882,<100DM,4_to_7yrs,2,male_single,guarantor,4,building_society_savings_agreement/life_insurance,45,33,none,for_free,1,skilled_employee/official,2,none,yes,0
<0DM,24,Delay_in_past,new_car,4870,<100DM,1_to_4yrs,3,male_single,None,4,unknown/no_property,53,145,none,for_free,2,skilled_employee/official,2,none,yes,1
None,36,Existing_credits_paid_till_now,education,9055,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,4,unknown/no_property,35,73,none,for_free,1,unskilled_resident,2,yes,yes,0
None,24,Existing_credits_paid_till_now,furniture/equipment,2835,500_to_1000DM,>7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,53,145,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,36,Existing_credits_paid_till_now,used_car,6948,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,35,73,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
None,12,Existing_credits_paid_till_now,radio/television,3059,>1000DM,4_to_7yrs,2,male_divorced/separated,None,4,real_estate,61,385,none,own,1,unskilled_resident,1,none,yes,0
0_to_200DM,30,Critical_acct_other_credits_existing,new_car,5234,<100DM,unemployed,4,male_married/widowed,None,2,car_or_other_nonsavings,28,220,none,own,2,management_self-employed_highly_qualified/officer,1,none,yes,1
0_to_200DM,12,Existing_credits_paid_till_now,new_car,NA,<100DM,<1yr,3,female_divorced/separated/married,None,1,car_or_other_nonsavings,25,313,none,rent,1,skilled_employee/official,1,none,yes,1
<0DM,48,Existing_credits_paid_till_now,business,4308,<100DM,<1yr,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,348,none,rent,1,skilled_employee/official,1,none,yes,1
0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1567,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,22,424,none,own,1,skilled_employee/official,1,yes,yes,0
<0DM,24,Critical_acct_other_credits_existing,new_car,1199,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,60,348,none,own,2,unskilled_resident,1,none,yes,1
<0DM,15,Existing_credits_paid_till_now,new_car,1403,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,4,car_or_other_nonsavings,28,220,none,rent,1,skilled_employee/official,1,none,yes,0
<0DM,24,Existing_credits_paid_till_now,radio/television,1282,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,None,2,car_or_other_nonsavings,32,124,none,own,1,unskilled_resident,1,none,yes,1
None,24,Critical_acct_other_credits_existing,radio/television,2424,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,53,145,none,own,2,skilled_employee/official,1,none,yes,0
<0DM,30,No_credits_taken_or_all_paid,business,8072,Unknown_or_no_savings_acct,<1yr,2,male_single,None,3,car_or_other_nonsavings,25,313,bank,own,3,skilled_employee/official,1,none,yes,0
0_to_200DM,24,Existing_credits_paid_till_now,used_car,12579,<100DM,>7yrs,4,female_divorced/separated/married,None,2,unknown/no_property,44,28,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
None,24,Existing_credits_paid_till_now,radio/television,3430,500_to_1000DM,>7yrs,3,male_single,None,2,car_or_other_nonsavings,31,145,none,own,1,skilled_employee/official,2,yes,yes,0
None,9,Critical_acct_other_credits_existing,new_car,2134,<100DM,1_to_4yrs,4,male_single,None,4,car_or_other_nonsavings,48,60,none,own,3,skilled_employee/official,1,yes,yes,0
<0DM,6,Existing_credits_paid_till_now,radio/television,2647,500_to_1000DM,1_to_4yrs,2,male_single,None,3,real_estate,44,28,none,rent,1,skilled_employee/official,2,none,yes,0
<0DM,10,Critical_acct_other_credits_existing,new_car,2241,<100DM,<1yr,1,male_single,None,3,real_estate,48,60,none,rent,2,unskilled_resident,2,none,no,0
0_to_200DM,12,Critical_acct_other_credits_existing,used_car,1804,100_to_500DM,<1yr,3,male_single,None,4,building_society_savings_agreement/life_insurance,44,28,none,own,1,skilled_employee/official,1,none,yes,0
None,10,Critical_acct_other_credits_existing,furniture/equipment,2069,Unknown_or_no_savings_acct,1_to_4yrs,2,male_married/widowed,None,1,car_or_other_nonsavings,26,280,none,own,2,skilled_employee/official,1,none,no,0
<0DM,6,Existing_credits_paid_till_now,furniture/equipment,1374,<100DM,1_to_4yrs,1,male_single,None,2,real_estate,36,60,bank,own,1,unskilled_resident,1,yes,yes,0
None,6,No_credits_taken_or_all_paid,radio/television,426,<100DM,>7yrs,4,male_married/widowed,None,4,car_or_other_nonsavings,39,33,none,own,1,unskilled_resident,1,none,yes,0
>200DM,12,All_credits_paid_duly,radio/television,409,>1000DM,1_to_4yrs,3,female_divorced/separated/married,None,3,real_estate,42,24,none,rent,2,skilled_employee/official,1,none,yes,0
0_to_200DM,7,Existing_credits_paid_till_now,radio/television,2415,<100DM,1_to_4yrs,3,male_single,guarantor,2,real_estate,34,88,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,60,Delay_in_past,business,6836,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,63,465,none,own,2,skilled_employee/official,1,yes,yes,1
0_to_200DM,18,Existing_credits_paid_till_now,business,1913,>1000DM,<1yr,3,male_married/widowed,None,3,real_estate,36,60,bank,own,1,skilled_employee/official,1,yes,yes,0
<0DM,24,Existing_credits_paid_till_now,furniture/equipment,4020,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,27,249,stores,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,18,Existing_credits_paid_till_now,new_car,5866,100_to_500DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,30,168,none,own,2,skilled_employee/official,1,yes,yes,0
None,12,Critical_acct_other_credits_existing,business,1264,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,NA,NA,none,rent,1,unskilled_resident,1,none,yes,0
>200DM,12,Existing_credits_paid_till_now,furniture/equipment,1474,<100DM,<1yr,4,female_divorced/separated/married,None,1,building_society_savings_agreement/life_insurance,33,105,bank,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,0
0_to_200DM,45,Critical_acct_other_credits_existing,radio/television,4746,<100DM,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,25,313,none,own,2,unskilled_resident,1,none,yes,1
None,48,Critical_acct_other_credits_existing,education,6110,<100DM,1_to_4yrs,1,male_single,None,3,unknown/no_property,31,145,bank,for_free,1,skilled_employee/official,1,yes,yes,0
>200DM,18,Existing_credits_paid_till_now,radio/television,2100,<100DM,1_to_4yrs,4,male_single,co-applicant,2,real_estate,37,49,stores,own,1,skilled_employee/official,1,none,yes,1
>200DM,10,Existing_credits_paid_till_now,domestic_appliances,1225,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,37,49,none,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,9,Existing_credits_paid_till_now,radio/television,458,<100DM,1_to_4yrs,4,male_single,None,3,real_estate,24,348,none,own,1,skilled_employee/official,1,none,yes,0
None,30,Existing_credits_paid_till_now,radio/television,2333,500_to_1000DM,>7yrs,4,male_single,None,2,car_or_other_nonsavings,NA,NA,bank,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1158,500_to_1000DM,1_to_4yrs,3,male_divorced/separated,None,1,car_or_other_nonsavings,26,280,none,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,18,Delay_in_past,repairs,6204,<100DM,1_to_4yrs,2,male_single,None,4,real_estate,44,28,none,own,1,unskilled_resident,2,yes,yes,0
<0DM,30,Critical_acct_other_credits_existing,used_car,6187,100_to_500DM,4_to_7yrs,1,male_married/widowed,None,4,car_or_other_nonsavings,24,348,none,rent,2,skilled_employee/official,1,none,yes,0
<0DM,48,Critical_acct_other_credits_existing,used_car,6143,<100DM,>7yrs,4,female_divorced/separated/married,None,4,unknown/no_property,58,280,stores,for_free,2,unskilled_resident,1,none,yes,1
None,11,Critical_acct_other_credits_existing,new_car,1393,<100DM,<1yr,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,35,73,none,own,2,management_self-employed_highly_qualified/officer,1,none,yes,0
None,36,Existing_credits_paid_till_now,radio/television,2299,500_to_1000DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,39,33,none,own,1,skilled_employee/official,1,none,yes,0
<0DM,6,Existing_credits_paid_till_now,used_car,1352,500_to_1000DM,unemployed,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,23,385,none,rent,1,unemployed/unskilled_nonresident,1,yes,yes,0
None,11,Critical_acct_other_credits_existing,new_car,7228,<100DM,1_to_4yrs,1,male_single,None,4,building_society_savings_agreement/life_insurance,39,33,none,own,2,unskilled_resident,1,none,yes,0
None,12,Existing_credits_paid_till_now,radio/television,2073,100_to_500DM,1_to_4yrs,4,female_divorced/separated/married,co-applicant,2,real_estate,28,220,none,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,24,Delay_in_past,furniture/equipment,2333,Unknown_or_no_savings_acct,<1yr,4,male_single,None,2,building_society_savings_agreement/life_insurance,29,193,bank,own,1,unskilled_resident,1,none,yes,0
0_to_200DM,27,Delay_in_past,used_car,5965,<100DM,>7yrs,1,male_single,None,2,car_or_other_nonsavings,30,168,none,own,2,management_self-employed_highly_qualified/officer,1,yes,yes,0
None,12,Existing_credits_paid_till_now,radio/television,1262,<100DM,1_to_4yrs,3,male_single,None,2,car_or_other_nonsavings,25,313,none,own,1,skilled_employee/official,1,none,yes,0
None,18,Existing_credits_paid_till_now,used_car,3378,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,1,building_society_savings_agreement/life_insurance,31,145,none,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,36,Delay_in_past,new_car,2225,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,57,249,bank,for_free,2,skilled_employee/official,1,yes,yes,1
None,6,All_credits_paid_duly,new_car,783,Unknown_or_no_savings_acct,1_to_4yrs,1,male_single,guarantor,2,real_estate,26,280,stores,own,1,unskilled_resident,2,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,radio/television,6468,Unknown_or_no_savings_acct,unemployed,2,male_single,None,1,unknown/no_property,52,124,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
None,36,Critical_acct_other_credits_existing,radio/television,9566,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,31,145,stores,own,2,skilled_employee/official,1,none,yes,0
>200DM,18,Existing_credits_paid_till_now,new_car,1961,<100DM,>7yrs,3,female_divorced/separated/married,None,2,car_or_other_nonsavings,23,385,none,own,1,management_self-employed_highly_qualified/officer,1,none,yes,0
<0DM,36,Critical_acct_other_credits_existing,furniture/equipment,6229,<100DM,<1yr,4,female_divorced/separated/married,co-applicant,4,unknown/no_property,23,385,none,rent,2,unskilled_resident,1,yes,yes,1
0_to_200DM,9,Existing_credits_paid_till_now,business,1391,<100DM,1_to_4yrs,2,male_married/widowed,None,1,real_estate,27,249,bank,own,1,skilled_employee/official,1,yes,yes,0
0_to_200DM,15,Critical_acct_other_credits_existing,radio/television,1537,Unknown_or_no_savings_acct,>7yrs,4,male_single,guarantor,4,real_estate,50,88,none,own,2,skilled_employee/official,1,yes,yes,0
0_to_200DM,36,No_credits_taken_or_all_paid,business,1953,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,61,385,none,for_free,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
0_to_200DM,48,No_credits_taken_or_all_paid,business,14421,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,25,313,none,own,1,skilled_employee/official,1,yes,yes,1
None,24,Existing_credits_paid_till_now,radio/television,3181,<100DM,<1yr,4,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,NA,NA,none,own,1,skilled_employee/official,1,yes,yes,0
None,27,Existing_credits_paid_till_now,repairs,5190,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,building_society_savings_agreement/life_insurance,48,60,none,own,4,skilled_employee/official,2,yes,yes,0
None,12,Existing_credits_paid_till_now,radio/television,2171,<100DM,<1yr,2,female_divorced/separated/married,None,2,car_or_other_nonsavings,29,193,bank,own,1,skilled_employee/official,1,none,yes,0
0_to_200DM,12,Existing_credits_paid_till_now,new_car,1007,>1000DM,1_to_4yrs,4,male_married/widowed,None,1,real_estate,22,424,none,own,1,skilled_employee/official,1,none,yes,0
None,36,Existing_credits_paid_till_now,education,1819,<100DM,1_to_4yrs,4,male_single,None,4,unknown/no_property,37,49,stores,for_free,1,skilled_employee/official,1,yes,yes,1
None,36,Existing_credits_paid_till_now,radio/television,2394,Unknown_or_no_savings_acct,1_to_4yrs,4,female_divorced/separated/married,None,4,car_or_other_nonsavings,25,313,none,own,1,skilled_employee/official,1,none,yes,0
None,36,Existing_credits_paid_till_now,used_car,8133,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,2,building_society_savings_agreement/life_insurance,30,168,bank,own,1,skilled_employee/official,1,none,yes,0
None,7,Critical_acct_other_credits_existing,radio/television,730,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,2,building_society_savings_agreement/life_insurance,NA,NA,none,rent,2,unskilled_resident,1,yes,yes,0
<0DM,8,Critical_acct_other_credits_existing,other,1164,<100DM,>7yrs,3,male_single,None,4,unknown/no_property,51,105,bank,for_free,2,management_self-employed_highly_qualified/officer,2,yes,yes,0
0_to_200DM,42,Critical_acct_other_credits_existing,business,5954,<100DM,4_to_7yrs,2,female_divorced/separated/married,None,1,real_estate,41,25,bank,own,2,unskilled_resident,1,none,yes,0
<0DM,36,Existing_credits_paid_till_now,education,1977,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,unknown/no_property,40,28,none,own,1,management_self-employed_highly_qualified/officer,1,yes,yes,1
<0DM,12,Critical_acct_other_credits_existing,used_car,1526,<100DM,>7yrs,4,male_single,None,4,unknown/no_property,66,600,none,for_free,2,management_self-employed_highly_qualified/officer,1,none,yes,0
<0DM,42,Existing_credits_paid_till_now,radio/television,3965,<100DM,<1yr,4,male_single,None,3,car_or_other_nonsavings,34,88,none,own,1,skilled_employee/official,1,none,yes,1
0_to_200DM,11,Delay_in_past,radio/television,4771,<100DM,4_to_7yrs,2,male_single,None,4,building_society_savings_agreement/life_insurance,51,105,none,own,1,skilled_employee/official,1,none,yes,0
None,54,No_credits_taken_or_all_paid,used_car,9436,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,2,building_society_savings_agreement/life_insurance,39,33,none,own,1,unskilled_resident,2,none,yes,0
0_to_200DM,30,Existing_credits_paid_till_now,furniture/equipment,3832,<100DM,<1yr,2,male_married/widowed,None,1,building_society_savings_agreement/life_insurance,22,424,none,own,1,skilled_employee/official,1,none,yes,0
None,24,Existing_credits_paid_till_now,radio/television,5943,Unknown_or_no_savings_acct,<1yr,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,44,28,none,own,2,skilled_employee/official,1,yes,yes,1
None,15,Existing_credits_paid_till_now,radio/television,1213,500_to_1000DM,>7yrs,4,male_single,None,3,building_society_savings_agreement/life_insurance,47,49,stores,own,1,skilled_employee/official,1,yes,yes,0
